Region,Suburb,1 Bed Flat_Median,2 Bed Flat_Median,2 Bed House_Median,3 Bed House_Median,4 Bed House_Median
Inner Melbourne,Albert Park-Middle Park-West St Kilda,450.0,643.0,760.0,1150.0,1400.0
Inner Melbourne,Armadale,450.0,650.0,830.0,1100.0,1738.0
Inner Melbourne,Carlton North,430.0,600.0,755.0,950.0,1225.0
Inner Melbourne,Carlton-Parkville,500.0,670.0,670.0,950.0,1100.0
Inner Melbourne,CBD-St Kilda Rd,560.0,735.0,,,
Inner Melbourne,Collingwood-Abbotsford,520.0,695.0,720.0,950.0,1200.0
Inner Melbourne,Docklands,600.0,763.0,,,
Inner Melbourne,East Melbourne,520.0,690.0,875.0,1100.0,
Inner Melbourne,East St Kilda,425.0,575.0,763.0,900.0,1100.0
Inner Melbourne,Elwood,450.0,608.0,795.0,1095.0,1500.0
Inner Melbourne,Fitzroy,528.0,750.0,848.0,1100.0,
Inner Melbourne,Fitzroy North-Clifton Hill,500.0,690.0,740.0,998.0,1295.0
Inner Melbourne,Flemington-Kensington,470.0,560.0,620.0,760.0,945.0
Inner Melbourne,North Melbourne-West Melbourne,525.0,660.0,650.0,853.0,1080.0
Inner Melbourne,Port Melbourne,550.0,745.0,740.0,980.0,1125.0
Inner Melbourne,Prahran-Windsor,460.0,650.0,775.0,975.0,1350.0
Inner Melbourne,Richmond-Burnley,510.0,700.0,750.0,990.0,1315.0
Inner Melbourne,South Melbourne,548.0,700.0,750.0,950.0,
Inner Melbourne,South Yarra,500.0,700.0,780.0,1100.0,1700.0
Inner Melbourne,Southbank,570.0,720.0,,,
Inner Melbourne,St Kilda,465.0,630.0,728.0,950.0,1105.0
Inner Melbourne,Toorak,445.0,650.0,695.0,1250.0,1875.0
Inner Melbourne,Total,530.0,700.0,740.0,970.0,1250.0
Inner Eastern Melbourne,Balwyn,500.0,588.0,570.0,750.0,1000.0
Inner Eastern Melbourne,Blackburn,460.0,550.0,550.0,620.0,800.0
Inner Eastern Melbourne,Box Hill,490.0,610.0,540.0,650.0,808.0
Inner Eastern Melbourne,Bulleen-Templestowe-Doncaster,480.0,595.0,570.0,660.0,820.0
Inner Eastern Melbourne,Burwood-Ashburton,450.0,570.0,580.0,650.0,878.0
Inner Eastern Melbourne,Camberwell-Glen Iris,440.0,600.0,660.0,838.0,1195.0
Inner Eastern Melbourne,Canterbury-Surrey Hills-Mont Albert,450.0,570.0,620.0,800.0,1100.0
Inner Eastern Melbourne,Chadstone-Oakleigh,500.0,580.0,570.0,630.0,850.0
Inner Eastern Melbourne,Clayton,490.0,590.0,550.0,603.0,800.0
Inner Eastern Melbourne,Doncaster East-Donvale,470.0,575.0,530.0,680.0,830.0
Inner Eastern Melbourne,East Hawthorn,490.0,610.0,698.0,898.0,1300.0
Inner Eastern Melbourne,Glen Waverley-Mulgrave,550.0,640.0,590.0,640.0,780.0
Inner Eastern Melbourne,Hawthorn,450.0,600.0,710.0,950.0,1500.0
Inner Eastern Melbourne,Kew,470.0,575.0,663.0,850.0,1300.0
Inner Eastern Melbourne,Mount Waverley,280.0,540.0,570.0,660.0,800.0
Inner Eastern Melbourne,Nunawading-Mitcham,435.0,520.0,525.0,625.0,745.0
Inner Eastern Melbourne,Vermont-Forest Hill-Burwood East,530.0,578.0,540.0,630.0,750.0
Inner Eastern Melbourne,Total,475.0,590.0,580.0,650.0,850.0
